latitude,longitude,acq_date,confidence,frp,type
46.48439,32.14327,10/10/2023,n,0.74,0
46.48387,32.14174,10/10/2023,n,0.77,0
46.76877,33.07634,10/10/2023,n,2.76,0
46.76682,33.07622,10/10/2023,n,1.39,0
47.87466,33.43567,10/10/2023,n,1.2,2
47.8693,33.42982,10/10/2023,n,2.34,2
47.87952,35.15389,10/10/2023,n,1.25,2
47.86909,35.15736,10/10/2023,n,1.95,3
47.8695,35.14844,10/10/2023,n,0.94,3
47.86889,35.16182,10/10/2023,n,1.95,3
47.86419,35.15234,10/10/2023,n,0.94,3
49.64118,36.88644,11/10/2023,n,0.54,0
47.83194,38.47671,11/10/2023,n,2.11,2
47.87347,35.16571,11/10/2023,n,1.85,2
47.86992,35.15867,11/10/2023,n,1.85,3
47.86877,35.16275,11/10/2023,n,1.85,2
48.74617,26.60548,11/10/2023,n,1,2
46.76672,33.08035,11/10/2023,n,2.24,0
48.28673,38.08884,11/10/2023,n,1.32,2
47.86282,35.14461,11/10/2023,n,1.36,3
47.867,33.42844,11/10/2023,n,1.84,2
46.76588,33.07969,11/10/2023,n,1.66,0
50.54501,26.25772,11/10/2023,n,3.12,2
48.52525,34.6505,11/10/2023,n,2.5,3
48.52602,34.65251,11/10/2023,n,2.38,3
47.87828,35.18796,11/10/2023,n,2.4,2
48.97683,24.70794,11/10/2023,n,1.79,2
44.77314,33.85695,11/10/2023,n,0.72,2
46.89858,31.46746,11/10/2023,n,4.45,0
47.07861,31.30696,11/10/2023,n,57.63,0
47.08219,31.3054,11/10/2023,n,57.63,0
47.66098,34.27183,11/10/2023,n,9.18,0
47.66667,34.26412,11/10/2023,n,5.77,0
47.67088,34.26809,11/10/2023,l,5.77,0
47.65586,34.16208,11/10/2023,n,4.02,0
47.6793,34.27601,11/10/2023,n,6.17,0
47.6784,34.27081,11/10/2023,l,6.17,0
47.65916,34.1608,11/10/2023,l,4.02,0
47.65824,34.15557,11/10/2023,l,4.02,0
47.6817,34.26956,11/10/2023,l,25.8,0
47.66833,34.1125,11/10/2023,n,3.05,0
48.46023,38.77426,11/10/2023,n,4.55,2
47.59166,33.13368,11/10/2023,n,4.28,0
48.49289,38.81029,11/10/2023,n,6.43,2
47.73776,33.22599,11/10/2023,n,3.95,0
47.1228,30.12106,11/10/2023,n,3.65,0
47.51101,30.78517,11/10/2023,n,4.21,0
48.16354,37.63071,11/10/2023,n,3.62,0
47.47609,33.43644,11/10/2023,n,3.89,0
46.89606,31.46932,11/10/2023,n,9.29,0
47.45594,36.01507,11/10/2023,n,2.3,0
47.45673,36.0201,11/10/2023,n,2.3,0
46.07668,29.03668,11/10/2023,n,2.23,0
46.01082,29.20123,11/10/2023,n,6.34,0
47.00896,34.15387,11/10/2023,n,1.85,0
47.59827,37.92754,11/10/2023,n,7.43,0
47.56487,37.73975,11/10/2023,n,3.75,0
45.96815,29.62297,11/10/2023,n,5.94,0
46.36253,32.4363,11/10/2023,n,8.39,0
45.6878,29.4756,11/10/2023,n,2.14,0
45.68058,29.47727,11/10/2023,n,3.36,0
45.60855,29.25612,11/10/2023,n,4.49,0
46.19069,32.57909,11/10/2023,n,2.41,0
46.66667,35.22199,11/10/2023,n,1.72,0
45.48793,29.4328,11/10/2023,n,2.08,0
46.76925,36.05499,11/10/2023,n,2.13,0
46.37221,33.83006,11/10/2023,n,2.78,0
45.76051,34.22857,11/10/2023,n,1.39,0
45.22605,35.53619,11/10/2023,n,2.32,0
45.22462,35.53893,11/10/2023,n,1.48,0
45.22132,36.01534,11/10/2023,n,1.48,0
51.21495,29.84707,11/10/2023,n,2.16,0
47.95875,32.23347,11/10/2023,n,4.22,0
48.43599,34.35585,11/10/2023,n,3.29,0
48.4351,34.35062,11/10/2023,n,2.42,0
48.70139,35.17159,11/10/2023,n,3.46,0
47.70555,29.58663,11/10/2023,n,5.16,0
47.71083,29.5919,11/10/2023,n,5.69,0
48.77706,35.14909,11/10/2023,n,1.79,0
47.70547,29.30244,11/10/2023,n,4.15,0
47.8045,29.4681,11/10/2023,n,5.98,0
47.80532,29.20655,11/10/2023,n,4.41,0
48.60937,33.04267,11/10/2023,n,2.28,0
48.44428,31.71174,11/10/2023,n,5.15,0
48.99814,34.095,11/10/2023,n,3.12,0
48.49965,29.06317,11/10/2023,n,4.09,0
49.80461,35.90564,11/10/2023,n,9.49,0
49.10545,31.45905,11/10/2023,n,2.48,0
49.2574,31.43888,11/10/2023,n,6.43,0
49.51917,30.75971,11/10/2023,n,1.65,0
